id,speakers,isoda,tokens,tags
2059,TL,Rufen,UAV Drohne,4
2060,TL,Anfordern,kann man von oben vielleicht mir ein Foto schicken?,1
2061,UAV,Informieren,wir haben ein Foto geschickt,7
2062,UAV,Anbieten,wir schalten jetzt mal auf Infrarot um zu gucken ob wir irgendwo eine thermische Entwicklung erkennen können,2
2063,TL,Auto-postiv,ja verstanden,2
2064,UAV,Rufen,Teamleader -,4
2065,UGV-1,Rufen,UAV 1 von UGV 1,4
2066,UGV-1,Rufen,UAV 1 von UGV 1,4
2067,UGV-1,Rufen,Drohne von UGV 1,4
2068,UAV,Anruf akzeptieren,die Drohne hört,5
2069,UGV-1,Anfordern,kannst du mir nochmal ein bisschen näher beschreiben wo die Rauchentwicklung ist?,3
2070,UAV,Informieren,ich hab' gerade Schwierigkeiten,2
2071,UAV,Informieren,weil ich seh' dich auf dem anderen Bild gerade nicht,2
2072,UAV,Informieren,du kannst aber in die Bilderbox gucken da müsstest du eigentlich das Bild aus Sichtweise der Drohne sehen,2
2073,UGV-1,Rufen,Teamleader von UGV 1,4
2074,TL,Anruf akzeptieren,Teamleader hört,5
2075,UGV-1,Informieren,ja ich komme nicht weiter höher ins Obergeschoss ohne dass ich eine Absperrung durchfahre,2
2076,TL,Task akzeptieren,ja fahren Sie wieder zurück ins Untergeschoss,1
2077,TL,Rufen,UGV Drohne von Teamleader kommen,4
2078,UAV,Anruf akzeptieren,UAV hört,5
2079,TL,Anfordern,noch ein Bild schicken und das aber mit einem Schwarz-Weiß-Hintergrund,1
2080,UAV,Task akzeptieren,machen wir dir fertig,7
2081,UGV-1,Rufen,Teamleader von UGV 1,4
2082,UGV-1,Informieren,hast du mittlerweile den blauen Kanister gesehen,3
2083,UGV-1,Informieren,weil ich komm da gerade nochmal vorbei,2
2084,UGV-1,Anfordern,könnt ich ein neues Foto machen,2
2085,TL,Anbieten,ja schick ich jetzt den Angriff dorthin zum Lesen,2
2086,TL,Anfordern,aber wenn du direkt vorbeikommst dann mach nur ein näheres Foto als Nachweis,7
2087,UAV,Rufen,Teamleader von UAV,4
2088,UAV,Informieren,wir haben ein neues Live-Bild neue Rauchentwicklung in dem hinteren Bereich,2
2089,TL,Auto-postiv,ja verstanden,2
2090,TL,Anfordern,schicken Sie mir das Foto?,1
2091,UAV,Bestätigen,schon da,7
2092,TL,Rufen,UAV Drohne,4
2093,UAV,Anruf akzeptieren,UAV hört,5
2094,UAV,Informieren,aber ich hab nochmal ein Bild hinterher geschickt,2
2095,UAV,Informieren,die Rauchentwicklung die verringert sich zwischenzeitlich immer wieder,2
2096,UAV,Informieren,es ist aber auch sehr schwierig  genaue Bilder zu erkennen,2
2097,UAV,Informieren,aufgrund des Windes weil die Drohne noch sehr stark hin und her schwankt,2
2098,TL,Auto-postiv,ja verstanden,2
2099,UAV,Rufen,Teamleader von der UAV Drohne,4
2100,TL,Anruf akzeptieren,hört,5
2101,UGV-1,Informieren,wir machen jetzt erst mal noch eine Zwischenlandung für einen Akkuwechsel,2
2102,TL,Auto-postiv,ja verstanden,2
2103,TL,Rufen,UAV 1 von Teamleader kommen,4
2104,UAV,Anruf akzeptieren,UAV hört,5
2105,TL,Situationsfrage,hattest du von dem blauen Kanister noch ein Foto gemacht?,3
2106,UGV-1,Anruf akzeptieren,ich bin gerade dabei,2
2107,TL,Auto-postiv,verstanden,2
2108,TL,Rufen,Teamleader an alle,4
2109,TL,Informieren,Übung beendet,2
2110,TL,Anfordern,alle bitte hier zum Treffpunkt ans Zelt kommen,1
2111,TL,Anruf akzeptieren,Der Radio Check,2
2112,TL,Rufen,UGV-1 für Einsatzleiter,4
2113,UGV-1,Anruf akzeptieren,Ja ich kann dich hören,5
2114,TL,Anruf akzeptieren,UGV-2,4
2115,UGV-2,Anruf akzeptieren,UGV-2 hört dich auch,5
2116,TL,Anfordern,Wenn ihr gleich vorgeht bitte meldet mir die üblichen Gefahren an der Einsatzstelle Feuer Opfer,1
2117,TL,Anfordern,Macht bitte Fotos von Positionen die euch blöd vorkommen oder interessant vorkommen,1
2118,TL,Rufen,UGV-1 für Einsatzleiter,4
2119,TL,Anfordern,Bitte mach mir mal ein Foto von deinem Standort kommen,1
2120,TL,Informieren,Ich seh euch gleich am Eingang der Halle,2
2121,UGV-1,Auto-postiv,Okay ja,7
2122,UGV-1,Informieren,Ich hab dir jetzt ein Foto von meinem Blickfeld geschickt,2
2123,UGV-1,Informieren,Es befindet sich schon mal links ein Gefahrgutfass Ölfass,2
2124,UGV-1,Situationsfrage,Dort auch senden?,3
2125,TL,Informieren,Also sieht so aus als hätte gerade ich gar keine Connection zur Database,2
2126,TL,Anfordern,Also beschreibe mir einfach wo du stehst,3
2127,UGV-1,Informieren,Ich bestehe an einem Gang am Anfang der Halle Eingang,2
2128,UGV-1,Antwort,Blickrichtung kann ich dir jetzt nicht sagen,2
2129,UGV-1,Informieren,Rechts von mir sehe ich den Ölfass,2
2130,UGV-1,Informieren,Ich denke also ich denke das ist ein Ölfass ich weiß nicht genau was drin ist übliches Rundfass,2
2131,UGV-1,Anbieten,Ich würde jetzt einfach geradeaus fahren und schauen was ich so weiter finde,2
2132,UGV-1,Anruf akzeptieren,Kommen,4
2133,TL,Auto-postiv,Verstanden,7
2134,TL,Informieren,Einsatzauftrag du fährst den langen Gang entlang ich gehe mal davon aus dass es am südlichen Wand der Halle ist und bleibst bitte auf der Ebene,1
2135,TL,Anfordern,Wenn du hoch oder runterfährst sagst mir bitte vorher Bescheid,1
2136,TL,Anruf akzeptieren,Kommen,4
2137,UGV-2,Anruf akzeptieren,UGV-2 hört dich,5
2138,TL,Situationsfrage,Frage kannst du den anderen Roboter sehen?,3
2139,UGV-2,Antwort,Ich seh einen Roboter aber das wird aufgrund der Beschreibung nicht der Roboter sein,0
2140,TL,Auto-postiv,Verstanden,2
2141,TL,Auto-postiv,Okay,2
2142,TL,Anfordern,Einsatzauftrag für dich du fährst weiter in die Halle rein und suchst nach dem Zugang mit dem du dich weiter nach Osten entwickeln kannst,1
2143,TL,Anruf akzeptieren,Kommen,4
2144,UGV-2,Auto-postiv,Ja das ist so verstanden Ich fahr weiter Richtung Norden in die Halle rein und suche mir einen Zugang in Richtung Osten,7
2145,TL,Auto-postiv,Okay,2
2146,TL,Rufen,Einsatzleitung für beide Roboter,4
2147,TL,Informieren,Ich habe jetzt wieder Connection zur Datenbank,2
2148,TL,Informieren,Ihr könnt also Fotos schicken,2
2149,TL,Informieren,ich sehe auch eure Position live,2
2150,UGV-1,Rufen,Ja Teamleader von UGV-1 kommen,4
2151,TL,Anruf akzeptieren,Höre,5
2152,UGV-1,Situationsfrage,Kannst du denn mein Foto empfangen das ich gerade geteilt habe?,3
2153,TL,Anruf akzeptieren,Hey ja,7
2154,TL,Informieren,Ich sehe dass die Fotos geadded wurden ich seh sie noch nicht auf der Karte,2
2155,TL,Anbieten,Geh einfach weiter vor wir versuchen das Problem hier zu lösen,1
2156,UGV-1,Rufen,Teamleader von UT-1 kommen,4
2157,TL,Anruf akzeptieren,Höre,5
2158,UGV-1,Anruf akzeptieren,Ja ich gehe jetzt rechter Hand,2
2159,TL,Rufen,UGV-2 für Einsatzleiter kommen,4
2160,UGV-2,Anruf akzeptieren,UGV-2,5
2161,TL,Anfordern,Kannst du mir mal ein Foto von deiner Position machen?,1
2162,UGV-2,Task akzeptieren,Ja ich mach dir mal ein Snapshot,7
2163,UGV-2,Situationsfrage,Ist das bei dir angekommen?,3
2164,TL,Auto-postiv,Ja,7
2165,TL,Sonstiges,das braucht mal paar Sekunden,2
2166,UGV-1,Rufen,Ja Teamleader von UGV-1 kommen,4
2167,TL,Anruf akzeptieren,Höre,5
2168,UGV-1,Informieren,Ja ich werd jetzt rechts abbiegen,2
2169,UGV-1,Informieren,Rechtseitig ein blaues Fass mit ner undefinierten Aufschrift gefunden,2
2170,UGV-1,Informieren,Hab dir ein Foto gemacht geteilt,2
2171,UGV-1,Anruf akzeptieren,kommen,4
2172,TL,Auto-postiv,Ja,5
2173,TL,Auto-postiv,verstanden,2
2174,TL,Anruf akzeptieren,UGV-1,4
2175,TL,Frage,Kannst du mal abschätzen wie weit du bis jetzt gefahren bist?,3
2176,TL,Informieren,Deine Position auf meiner Karte hat sich kaum geändert,2
2177,UGV-1,Antwort,Ja ich denke so 5-6 meter weiter bin ich noch nicht gekommen kommen,2
2178,TL,Auto-postiv,Verstanden,2
2179,TL,Rufen,UGV-2 für Einsatzleiter,4
2180,UGV-2,Anruf akzeptieren,UGV-2,5
2181,TL,Situationsfrage,Hat das mit dem Foto geklappt?,3
2182,TL,Bestätigen,Bei mir ist nichts angekommen,2
2183,UGV-2,Informieren,Also bei mir sind zwei Fotos auf der Karte hinterlegt,7
2184,UGV-2,Informieren,Die müssten auch ungefähr von meiner Position gekommen sein,2
2185,TL,Informieren,UGV-2 ich krieg deine Daten immer noch nicht,2
2186,TL,Anfordern,Kannst du mir mal grob deine Position auf der Karte durchgeben?,1
2187,TL,Auto-postiv,Ja okay verstanden,2
2188,UGV-1,Informieren,I lost the connection to the TDF,2
2189,UGV-1,Rufen,Teamleader von UGV-1 kommen,4
2190,TL,Anruf akzeptieren,Höre,5
2191,UGV-1,Informieren,Ja mein TDS muss neu gestartet werden,2
2192,TL,Auto-postiv,Ja verstanden,2
2193,TL,Anfordern,Gib mir Bescheid wenn du weiterfährst,1
2194,UGV-2,Rufen,Teamleader von UGV-2,4
2195,TL,Anruf akzeptieren,Teamleader,5
2196,UGV-2,Informieren,Ja also ich hab gerade jetzt hier ein blaues Fass gefunden,2
2197,TL,Auto-postiv,Ja verstanden,2
2198,TL,Frage,Wie ist der Zustand des Fasses?,3
2199,UGV-2,Informieren,Steht senkrecht und sieht auf dem ersten Blick heil aus keine Lache oder so was drumherum,2
2200,TL,Auto-postiv,Ja verstanden,2
2201,TL,Anfordern,Dann Foto machen,1
2202,TL,Anbieten,Und dann weiter vorgehen,1
2203,UGV-1,Rufen,Teamleader von UGV-1 kommen,4
2204,TL,Anruf akzeptieren,Höre,5
2205,UGV-1,Informieren,Ja ich kann hier weiterfahren,2
2206,TL,Auto-postiv,Ja verstanden,2
2207,TL,Anfordern,Gib mir bitte nochmal ein Foto von deiner Fahrtrichtung,1
2208,UGV-1,Rufen,Teamleader von UGV-1 kommen,4
2209,TL,Rufen,UGV-1 UGV-2 und UAV kommen,4
2210,UAV,Anruf akzeptieren,UAV hört,5
2211,UGV-1,Anruf akzeptieren,UGV-1 hört,5
2212,UGV-2,Anruf akzeptieren,UGV-2,5
2213,UAV,Anruf akzeptieren,UAV,5
2214,TL,Informieren,So weiteren Einsatzauftrag erhalten folgende Lage grundsätlich die Lage die selbe wie heute morgen Explosion in diesem länglichen Gebäude unklare Ausdehnung,2
2215,TL,Informieren,Jetzt neuer Bericht von Gasgeruch in der Mitte des Gebäudes,2
2216,TL,Anfordern,Unsereines Auftrag Gasquelle lokalisieren,1
2217,TL,Anfordern,Und weiter mappen,1
2218,TL,Rufen,UAV von Einsatzleiter,4
2219,UAV,Anruf akzeptieren,UAV hört,5
2220,TL,Check Frage,Dein Standort ist Position ECO richtig?,3
2221,UAV,Antwort,Mein Standard ist im Moment Position ECO,7
2222,UAV,Informieren,Aber du wirst keine Updates kriegen,2
2223,TL,Auto-postiv,Ja soweit verstanden,2
2224,TL,Anfordern,Einsatzauftrag bitte aufsteigen Übersichtsfoto machen wenn möglich aus allen vier Himmelsrichtungen,1
2225,TL,Anruf akzeptieren,kommen,4
2226,UAV,Auto-postiv,Verstanden,7
2227,TL,Rufen,UGV-1 für Einsatzleiter,4
2228,TL,Anfordern,Du machst mir jetzt ein Foto dann gucken wir,1
2229,TL,Auto-postiv,Verstanden?,3
2230,UGV-1,Auto-postiv,Ja verstanden,7
2231,TL,Situationsfrage,UGV-2 für Einsatzleiter mitgehört?,3
2232,UGV-2,Anruf akzeptieren,UGV-2 mitgehört,7
2233,UGV-2,Informieren,kriegst auch ein Foto,2
2234,UGV-1,Rufen,Teamleader von UGV-1 kommen,4
2235,TL,Anruf akzeptieren,Höre,5
2236,UGV-1,Task akzeptieren,Ja soll ich mal losfahren dem Tango hinterher quasi?,3
2237,TL,Situationsfrage,Wer fährt denn da schon?,3
2238,UGV-2,Informieren,UGV-2 hat sich nur ein meter fortbewegt,2
2239,TL,Auto-postiv,Okay,2
2240,TL,Informieren,Also ich seh euch beide ihr steht beide am Eingang des Ganges hintereinander,2
2241,TL,Situationsfrage,Und jetzt fahrt ihr beide hintereinander her zum Punkt ASA 325 - 352 danke,1
2242,UGV-2,Auto-postiv,UGV-2 verstanden,7
2243,TL,Rufen,UGV-1 für Einsatzleiter,4
2244,UGV-2,Anruf akzeptieren,Hier UGV-2,4
2245,UGV-2,Informieren,UGV-1 kriegt da noch eine Einweisung,2
2246,UGV-2,Rufen,Teamleiter von UGV-2,4
2247,UGV-2,Informieren,Du müsstest ein Bild gekriegt haben ASA 352 müsste rechts von mir von meiner Position auf dem Bild sein,2
2248,TL,Auto-postiv,Ja verstanden,2
2249,TL,Anfordern,Nimm doch mal bitte einen Rundblick,1
2250,TL,Anfordern,Wenn du da nichts entdeckst weiter Richtung Osten,1
2251,UGV-2,Auto-postiv,Ja ist verstanden,7
2252,UGV-2,Rufen,Teamleiter von UGV-2,4
2253,TL,Anruf akzeptieren,Höre,5
2254,UGV-2,Informieren,Gucke dir mal das Bild an was gerade gekommen ist das ist rechts von meiner Position,2
2255,UGV-2,Informieren,Ergeht irgendwie so eine Plattform mit so einer Metallbox auf Palette,2
2256,TL,Sonstiges,Ja ich gucke,7
2257,TL,Rufen,UGV-2 von Einsatzleiter,4
2258,TL,Anfordern,Guck dir das mal genauer an bitte wenn du da hochkommst,1
2259,UGV-2,Auto-postiv,Ja das ist verstanden,7
2260,UGV-2,Task akzeptieren,Ich versuch das mal,7
