id,speakers,summary,tokens,tags
356,UAV,TL : die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können? UGV-1 : ich breche dann die Erkundung in östlicher Richtung ab. UAV : ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken.,da bewegt sich das erdgebundene Fahrzeug gerade darauf zu,2
357,UGV-2,TL : die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können? UGV-1 : ich breche dann die Erkundung in östlicher Richtung ab. UAV : da bewegt sich das erdgebundene Fahrzeug gerade darauf zu.,Einsatzleiter von UGV 2 kommen,4
358,TL,UGV-1 : ich breche dann die Erkundung in östlicher Richtung ab. UAV : ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken. UAV : da bewegt sich das erdgebundene Fahrzeug gerade darauf zu.,ich höre,5
359,UGV-2,UGV-1 : ich breche dann die Erkundung in östlicher Richtung ab. UAV : ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken. UAV : da bewegt sich das erdgebundene Fahrzeug gerade darauf zu.,ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt,2
360,TL,UAV : ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken. UAV : da bewegt sich das erdgebundene Fahrzeug gerade darauf zu. UGV-2 : ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt.,ja verstanden,2
361,UGV-2,UAV : ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken. UAV : da bewegt sich das erdgebundene Fahrzeug gerade darauf zu. UGV-2 : ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt.,und ich glaube da kommt UGV 1 auch wieder angerollt,2
362,UGV-1,UAV : ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken. UAV : da bewegt sich das erdgebundene Fahrzeug gerade darauf zu. UGV-2 : ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt.,ja das ist korrekt,2
363,UAV,UAV : ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken. UAV : da bewegt sich das erdgebundene Fahrzeug gerade darauf zu. UGV-2 : ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt.,UGV 1 von UAV 1,4
364,UGV-1,UAV : ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken. UAV : da bewegt sich das erdgebundene Fahrzeug gerade darauf zu. UGV-2 : ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt.,ich höre dich,5
365,UAV,UAV : da bewegt sich das erdgebundene Fahrzeug gerade darauf zu. UGV-2 : ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt. UGV-2 : und ich glaube da kommt UGV 1 auch wieder angerollt.,ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter,2
366,UGV-1,UAV : da bewegt sich das erdgebundene Fahrzeug gerade darauf zu. UGV-2 : ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt. UGV-2 : und ich glaube da kommt UGV 1 auch wieder angerollt.,ja ist verstanden,2
367,UAV,UGV-2 : ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt. UGV-2 : und ich glaube da kommt UGV 1 auch wieder angerollt. UAV : ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter.,die Wärmesignaturen sind schwarze Punkte,2
368,UGV-1,UGV-2 : ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt. UGV-2 : und ich glaube da kommt UGV 1 auch wieder angerollt. UAV : ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter.,Frage: ist das schon erfolgt?,3
369,UAV,UGV-2 : ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt. UGV-2 : und ich glaube da kommt UGV 1 auch wieder angerollt. UAV : ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter.,Bild ist draußen ich hab's geteilt,7
370,UAV,UGV-2 : und ich glaube da kommt UGV 1 auch wieder angerollt. UAV : ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter. UAV : die Wärmesignaturen sind schwarze Punkte.,kannst du die Bilder sehen? UGV?,3
371,UGV-1,UGV-2 : und ich glaube da kommt UGV 1 auch wieder angerollt. UAV : ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter. UAV : die Wärmesignaturen sind schwarze Punkte.,nein negativ,0
372,TL,UAV : ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter. UAV : die Wärmesignaturen sind schwarze Punkte. UAV : Bild ist draußen ich hab's geteilt.,UAV von Einsatzleiter,4
373,UAV,UAV : ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter. UAV : die Wärmesignaturen sind schwarze Punkte. UAV : Bild ist draußen ich hab's geteilt.,hier ist die UAV,5
374,TL,UAV : ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter. UAV : die Wärmesignaturen sind schwarze Punkte. UAV : Bild ist draußen ich hab's geteilt.,konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,3
375,UAV,UAV : ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter. UAV : Bild ist draußen ich hab's geteilt. TL : konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,bisher ist das einzige,2
376,TL,UAV : die Wärmesignaturen sind schwarze Punkte. UAV : Bild ist draußen ich hab's geteilt. TL : konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,ja verstanden,2
377,UAV,UAV : die Wärmesignaturen sind schwarze Punkte. UAV : Bild ist draußen ich hab's geteilt. TL : konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,UGV 1 von UAV,4
378,UGV-1,UAV : Bild ist draußen ich hab's geteilt. TL : konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,ja,5
379,UGV-1,UAV : Bild ist draußen ich hab's geteilt. TL : konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,ich hab die brennenden Punkte gefunden,2
380,UAV,TL : konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste? UGV-1 : ich hab die brennenden Punkte gefunden.,ja das ist schon mal gut ja,2
381,TL,TL : konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste? UGV-1 : ich hab die brennenden Punkte gefunden.,UGV 1 von Einsatzleiter,4
382,UGV-1,TL : konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste? UGV-1 : ich hab die brennenden Punkte gefunden.,ich höre dich,5
383,TL,TL : konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste? UGV-1 : ich hab die brennenden Punkte gefunden.,ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich?,3
384,UGV-1,TL : konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste? UGV-1 : ich hab die brennenden Punkte gefunden. TL : ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich?,ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser,2
385,TL,UGV-1 : ich hab die brennenden Punkte gefunden. TL : ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich? UGV-1 : ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser.,ja das ist verstanden,2
386,TL,UGV-1 : ich hab die brennenden Punkte gefunden. TL : ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich? UGV-1 : ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser.,UAV von Einsatzleiter,4
387,UAV,UGV-1 : ich hab die brennenden Punkte gefunden. TL : ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich? UGV-1 : ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser.,hier ist die UAV,5
388,UAV,UGV-1 : ich hab die brennenden Punkte gefunden. TL : ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich? UGV-1 : ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser.,wir gehen runter zur Landung Akkutausch,2
389,TL,UGV-1 : ich hab die brennenden Punkte gefunden. UGV-1 : ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser. UAV : wir gehen runter zur Landung Akkutausch.,das ist verstanden,2
390,UGV-1,TL : ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich? UGV-1 : ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser. UAV : wir gehen runter zur Landung Akkutausch.,Einsatzleiter von UGV 1 kommen,4
391,TL,TL : ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich? UGV-1 : ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser. UAV : wir gehen runter zur Landung Akkutausch.,ich höre,5
392,UGV-1,TL : ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich? UGV-1 : ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser. UAV : wir gehen runter zur Landung Akkutausch.,ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt,2
393,TL,TL : ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich? UGV-1 : ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser. UAV : wir gehen runter zur Landung Akkutausch.,ist verstanden,2
394,TL,UGV-1 : ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser. UAV : wir gehen runter zur Landung Akkutausch. UGV-1 : ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt.,ich kann momentan aus technischen Gründen nur leider nichts sehen,2
395,UGV-1,UAV : wir gehen runter zur Landung Akkutausch. UGV-1 : ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt. TL : ich kann momentan aus technischen Gründen nur leider nichts sehen.,ja ist verstanden,2
396,UAV,UAV : wir gehen runter zur Landung Akkutausch. UGV-1 : ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt. TL : ich kann momentan aus technischen Gründen nur leider nichts sehen.,Einsatzleiter von UAV,4
397,TL,UAV : wir gehen runter zur Landung Akkutausch. UGV-1 : ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt. TL : ich kann momentan aus technischen Gründen nur leider nichts sehen.,höre,5
398,UAV,UAV : wir gehen runter zur Landung Akkutausch. UGV-1 : ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt. TL : ich kann momentan aus technischen Gründen nur leider nichts sehen.,ja wir brauchen noch einen Augenblick,2
399,UAV,UGV-1 : ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt. TL : ich kann momentan aus technischen Gründen nur leider nichts sehen. UAV : ja wir brauchen noch einen Augenblick.,tauschen eben die Kameras,2
400,UAV,UGV-1 : ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt. TL : ich kann momentan aus technischen Gründen nur leider nichts sehen. UAV : ja wir brauchen noch einen Augenblick.,dann sind wir wieder dabei und suchen dann nach weiteren Fässern,2
401,TL,UGV-1 : ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt. TL : ich kann momentan aus technischen Gründen nur leider nichts sehen. UAV : dann sind wir wieder dabei und suchen dann nach weiteren Fässern.,ja verstanden,2
402,TL,UGV-1 : ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt. TL : ich kann momentan aus technischen Gründen nur leider nichts sehen. UAV : dann sind wir wieder dabei und suchen dann nach weiteren Fässern.,in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich?,3
403,UAV,TL : ich kann momentan aus technischen Gründen nur leider nichts sehen. UAV : ja wir brauchen noch einen Augenblick. UAV : dann sind wir wieder dabei und suchen dann nach weiteren Fässern.,ja ist verstanden,2
404,UAV,TL : ich kann momentan aus technischen Gründen nur leider nichts sehen. UAV : ja wir brauchen noch einen Augenblick. UAV : dann sind wir wieder dabei und suchen dann nach weiteren Fässern.,wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus,0
405,TL,UAV : ja wir brauchen noch einen Augenblick. UAV : dann sind wir wieder dabei und suchen dann nach weiteren Fässern. TL : in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich?,okay,2
406,TL,UAV : ja wir brauchen noch einen Augenblick. UAV : dann sind wir wieder dabei und suchen dann nach weiteren Fässern. TL : in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich?,an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV,4
407,TL,UAV : ja wir brauchen noch einen Augenblick. TL : in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich? TL : an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV.,Übungsende,2
408,UGV-1,UAV : ja wir brauchen noch einen Augenblick. TL : in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich? TL : an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV.,UGV 1 verstanden,2
409,UGV-2,UAV : dann sind wir wieder dabei und suchen dann nach weiteren Fässern. TL : in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich? TL : an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV.,UGV 2 verstanden,2
410,UAV,UAV : dann sind wir wieder dabei und suchen dann nach weiteren Fässern. TL : in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich? TL : an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV.,UAV auch verstanden,2
411,WHS,TL : in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich? UAV : wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus. TL : an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV.,Zugführer von WHS kommen,4
412,ZF,TL : in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich? UAV : wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus. TL : an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV.,Gruppenführer von Zugführer kommen,4
413,GF,UAV : wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus. TL : an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV.,Gruppenführer hört,5
414,ZF,UAV : wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus. TL : an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV.,Frage Lautstärke Verständigung kommen,3
415,GF,TL : an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV. ZF : Frage Lautstärke Verständigung kommen.,Ja Lautstärke und Verständigung gut kommen,7
416,ZF,TL : an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV. ZF : Frage Lautstärke Verständigung kommen. GF : Ja Lautstärke und Verständigung gut kommen.,Ja das ist so verstanden ende,2
417,GF,ZF : Frage Lautstärke Verständigung kommen. GF : Ja Lautstärke und Verständigung gut kommen.,Ja ende,2
418,ZF,ZF : Frage Lautstärke Verständigung kommen. GF : Ja Lautstärke und Verständigung gut kommen.,Das WHS von Zugführer kommen,4
419,ZF,ZF : Frage Lautstärke Verständigung kommen. GF : Ja Lautstärke und Verständigung gut kommen.,D2 von Zugführer kommen,4
420,D2,ZF : Frage Lautstärke Verständigung kommen. GF : Ja Lautstärke und Verständigung gut kommen.,D2 hier kommen,5
421,ZF,ZF : Frage Lautstärke Verständigung kommen. GF : Ja Lautstärke und Verständigung gut kommen.,Frage Lautstärke und Verständigung kommen,3
422,D2,ZF : Frage Lautstärke Verständigung kommen. GF : Ja Lautstärke und Verständigung gut kommen. ZF : Frage Lautstärke und Verständigung kommen.,Nochmal bitte kommen,1
